T      Bact  Phage     Lys   VMR  P_spec B_spec 
 521  897672 10189159  203005  9.3   98   75 
 522  897672 10189159  203005  9.3   98   75 
 523  897672 10189159  203005  9.3   98   75 
 524  897672 10189159  203005  9.3   98   75 
 525  897672 10189159  203005  9.3   98   75 
 526  897672 10189159  203005  9.3   98   75 
 527  897672 10189159  203005  9.3   98   75 
 528  897672 10189159  203005  9.3   98   75 
 529  897672 10189159  203005  9.3   98   75 
 530  897672 10189159  203005  9.3   98   75 
 531  897672 10189159  203005  9.3   98   75 
 532  897672 10189159  203005  9.3   98   75 
 533  897672 10189159  203005  9.3   98   75 
 534  897672 10189159  203005  9.3   98   75 
 535  897672 10189159  203005  9.3   98   75 
 536  897672 10189159  203005  9.3   98   75 
 537  897672 10189159  203005  9.3   98   75 
 538  897672 10189159  203005  9.3   98   75 
 539  897672 10189159  203005  9.3   98   75 
 540  897672 10189159  203005  9.3   98   75 
 541  897672 10189159  203005  9.3   98   75 
 542  897672 10189159  203005  9.3   98   75 
 543  897672 10189159  203005  9.3   98   75 
 544  897672 10189159  203005  9.3   98   75 
 545  897672 10189159  203005  9.3   98   75 
 546  897672 10189159  203005  9.3   98   75 
 547  897672 10189159  203005  9.3   98   75 
 548  897672 10189159  203005  9.3   98   75 
 549  897672 10189159  203005  9.3   98   75 
 550  897672 10189159  203005  9.3   98   75 
 551  897672 10189159  203005  9.3   98   75 
 552  897672 10189159  203005  9.3   98   75 
 553  897672 10189159  203005  9.3   98   75 
 554  897672 10189159  203005  9.3   98   75 
 555  897672 10189159  203005  9.3   98   75 
 556  897672 10189159  203005  9.3   98   75 
 557  897672 10189159  203005  9.3   98   75 
 558  897672 10189159  203005  9.3   98   75 
 559  897672 10189159  203005  9.3   98   75 
 560  897672 10189159  203005  9.3   98   75 
 561  897672 10189159  203005  9.3   98   75 
 562  897672 10189159  203005  9.3   98   75 
 563  897672 10189159  203005  9.3   98   75 
 564  897672 10189159  203005  9.3   98   75 
 565  897672 10189159  203005  9.3   98   75 
 566  897672 10189159  203005  9.3   98   75 
 567  897672 10189159  203005  9.3   98   75 
 568  897672 10189159  203005  9.3   98   75 
 569  897672 10189159  203005  9.3   98   75 
 570  897672 10189159  203005  9.3   98   75 
 571  897672 10189159  203005  9.3   98   75 
 572  897672 10189159  203005  9.3   98   75 
 573  897672 10189159  203005  9.3   98   75 
 574  897672 10189159  203005  9.3   98   75 
 575  897672 10189159  203005  9.3   98   75 
 576  897672 10189159  203005  9.3   98   75 
 577  897672 10189159  203005  9.3   98   75 
 578  897672 10189159  203005  9.3   98   75 
 579  897672 10189159  203005  9.3   98   75 
 580  897672 10189159  203005  9.3   98   75 
 581  897672 10189159  203005  9.3   98   75 
 582  897672 10189159  203005  9.3   98   75 
 583  897672 10189159  203005  9.3   98   75 
 584  897672 10189159  203005  9.3   98   75 
 585  897672 10189159  203005  9.3   98   75 
 586  897672 10189159  203005  9.3   98   75 
 587  897672 10189159  203005  9.3   98   75 
 588  897672 10189159  203005  9.3   98   75 
 589  897672 10189159  203005  9.3   98   75 
 590  897672 10189159  203005  9.3   98   75 
 591  897672 10189159  203005  9.3   98   75 
 592  897672 10189159  203005  9.3   98   75 
 593  897672 10189159  203005  9.3   98   75 
 594  897672 10189159  203005  9.3   98   75 
 595  897672 10189159  203005  9.3   98   75 
 596  897672 10189159  203005  9.3   98   75 
 597  897672 10189159  203005  9.3   98   75 
 598  897672 10189159  203005  9.3   98   75 
 599  897672 10189159  203005  9.3   98   75 
 600  897672 10189159  203005  9.3   98   75 
 601  897672 10189159  203005  9.3   98   75 
 602  897672 10189159  203005  9.3   98   75 
 603  897672 10189159  203005  9.3   98   75 
 604  897672 10189159  203005  9.3   98   75 
 605  897672 10189159  203005  9.3   98   75 
 606  897672 10189159  203005  9.3   98   75 
 607  897672 10189159  203005  9.3   98   75 
 608  897672 10189159  203005  9.3   98   75 
 609  897672 10189159  203005  9.3   98   75 
 610  897672 10189159  203005  9.3   98   75 
 611  897672 10189159  203005  9.3   98   75 
 612  897672 10189159  203005  9.3   98   75 
 613  897672 10189159  203005  9.3   98   75 
 614  897672 10189159  203005  9.3   98   75 
 615  897672 10189159  203005  9.3   98   75 
 616  897672 10189159  203005  9.3   98   75 
 617  897672 10189159  203005  9.3   98   75 
 618  897672 10189159  203005  9.3   98   75 
 619  897672 10189159  203005  9.3   98   75 
 620  897672 10189159  203005  9.3   98   75 
 621  897672 10189159  203005  9.3   98   75 
 622  897672 10189159  203005  9.3   98   75 
 623  897672 10189159  203005  9.3   98   75 
 624  897672 10189159  203005  9.3   98   75 
 625  897672 10189159  203005  9.3   98   75 
 626  897672 10189159  203005  9.3   98   75 
 627  897672 10189159  203005  9.3   98   75 
 628  897672 10189159  203005  9.3   98   75 
 629  897672 10189159  203005  9.3   98   75 
 630  897672 10189159  203005  9.3   98   75 
