T      Bact  Phage     Lys   VMR  P_spec B_spec 
 307  830841 10191752  347813  8.6   98   70 
 308  830841 10191752  347813  8.6   98   70 
 309  830841 10191752  347813  8.6   98   70 
 310  830841 10191752  347813  8.6   98   70 
 311  830841 10191752  347813  8.6   98   70 
 312  830841 10191752  347813  8.6   98   70 
 313  830841 10191752  347813  8.6   98   70 
 314  830841 10191752  347813  8.6   98   70 
 315  830841 10191752  347813  8.6   98   70 
 316  830841 10191752  347813  8.6   98   70 
 317  830841 10191752  347813  8.6   98   70 
 318  830841 10191752  347813  8.6   98   70 
 319  830841 10191752  347813  8.6   98   70 
 320  830841 10191752  347813  8.6   98   70 
 321  830841 10191752  347813  8.6   98   70 
 322  830841 10191752  347813  8.6   98   70 
 323  830841 10191752  347813  8.6   98   70 
 324  830841 10191752  347813  8.6   98   70 
 325  830841 10191752  347813  8.6   98   70 
 326  830841 10191752  347813  8.6   98   70 
 327  830841 10191752  347813  8.6   98   70 
 328  830841 10191752  347813  8.6   98   70 
 329  830841 10191752  347813  8.6   98   70 
 330  830841 10191752  347813  8.6   98   70 
 331  830841 10191752  347813  8.6   98   70 
 332  830841 10191752  347813  8.6   98   70 
 333  830841 10191752  347813  8.6   98   70 
 334  830841 10191752  347813  8.6   98   70 
 335  830841 10191752  347813  8.6   98   70 
 336  830841 10191752  347813  8.6   98   70 
 337  830841 10191752  347813  8.6   98   70 
 338  830841 10191752  347813  8.6   98   70 
 339  830841 10191752  347813  8.6   98   70 
 340  830841 10191752  347813  8.6   98   70 
 341  830841 10191752  347813  8.6   98   70 
 342  830841 10191752  347813  8.6   98   70 
 343  830841 10191752  347813  8.6   98   70 
 344  830841 10191752  347813  8.6   98   70 
 345  830841 10191752  347813  8.6   98   70 
 346  830841 10191752  347813  8.6   98   70 
 347  830841 10191752  347813  8.6   98   70 
 348  830841 10191752  347813  8.6   98   70 
 349  830841 10191752  347813  8.6   98   70 
 350  830841 10191752  347813  8.6   98   70 
 351  830841 10191752  347813  8.6   98   70 
 352  830841 10191752  347813  8.6   98   70 
 353  830841 10191752  347813  8.6   98   70 
 354  830841 10191752  347813  8.6   98   70 
 355  830841 10191752  347813  8.6   98   70 
 356  830841 10191752  347813  8.6   98   70 
 357  830841 10191752  347813  8.6   98   70 
 358  830841 10191752  347813  8.6   98   70 
 359  830841 10191752  347813  8.6   98   70 
 360  830841 10191752  347813  8.6   98   70 
 361  830841 10191752  347813  8.6   98   70 
 362  830841 10191752  347813  8.6   98   70 
 363  830841 10191752  347813  8.6   98   70 
 364  830841 10191752  347813  8.6   98   70 
 365  830841 10191752  347813  8.6   98   70 
 366  830841 10191752  347813  8.6   98   70 
 367  830841 10191752  347813  8.6   98   70 
 368  830841 10191752  347813  8.6   98   70 
 369  830841 10191752  347813  8.6   98   70 
 370  830841 10191752  347813  8.6   98   70 
 371  830841 10191752  347813  8.6   98   70 
 372  830841 10191752  347813  8.6   98   70 
 373  830841 10191752  347813  8.6   98   70 
 374  830841 10191752  347813  8.6   98   70 
 375  830841 10191752  347813  8.6   98   70 
 376  830841 10191752  347813  8.6   98   70 
 377  830841 10191752  347813  8.6   98   70 
 378  830841 10191752  347813  8.6   98   70 
 379  830841 10191752  347813  8.6   98   70 
 380  830841 10191752  347813  8.6   98   70 
 381  830841 10191752  347813  8.6   98   70 
 382  830841 10191752  347813  8.6   98   70 
 383  830841 10191752  347813  8.6   98   70 
 384  830841 10191752  347813  8.6   98   70 
 385  830841 10191752  347813  8.6   98   70 
 386  830841 10191752  347813  8.6   98   70 
 387  830841 10191752  347813  8.6   98   70 
 388  830841 10191752  347813  8.6   98   70 
 389  830841 10191752  347813  8.6   98   70 
 390  830841 10191752  347813  8.6   98   70 
 391  830841 10191752  347813  8.6   98   70 
 392  830841 10191752  347813  8.6   98   70 
 393  830841 10191752  347813  8.6   98   70 
 394  830841 10191752  347813  8.6   98   70 
 395  830841 10191752  347813  8.6   98   70 
 396  830841 10191752  347813  8.6   98   70 
 397  830841 10191752  347813  8.6   98   70 
 398  830841 10191752  347813  8.6   98   70 
 399  830841 10191752  347813  8.6   98   70 
 400  830841 10191752  347813  8.6   98   70 
 401  830841 10191752  347813  8.6   98   70 
 402  830841 10191752  347813  8.6   98   70 
 403  830841 10191752  347813  8.6   98   70 
 404  830841 10191752  347813  8.6   98   70 
 405  830841 10191752  347813  8.6   98   70 
 406  830841 10191752  347813  8.6   98   70 
 407  830841 10191752  347813  8.6   98   70 
 408  830841 10191752  347813  8.6   98   70 
 409  830841 10191752  347813  8.6   98   70 
 410  830841 10191752  347813  8.6   98   70 
 411  830841 10191752  347813  8.6   98   70 
 412  830841 10191752  347813  8.6   98   70 
 413  830841 10191752  347813  8.6   98   70 
 414  830841 10191752  347813  8.6   98   70 
 415  830841 10191752  347813  8.6   98   70 
 416  830841 10191752  347813  8.6   98   70 
 417  830841 10191752  347813  8.6   98   70 
 418  830841 10191752  347813  8.6   98   70 
 419  830841 10191752  347813  8.6   98   70 
 420  830841 10191752  347813  8.6   98   70 
 421  830841 10191752  347813  8.6   98   70 
 422  830841 10191752  347813  8.6   98   70 
 423  830841 10191752  347813  8.6   98   70 
 424  830841 10191752  347813  8.6   98   70 
 425  830841 10191752  347813  8.6   98   70 
 426  830841 10191752  347813  8.6   98   70 
 427  830841 10191752  347813  8.6   98   70 
 428  830841 10191752  347813  8.6   98   70 
 429  830841 10191752  347813  8.6   98   70 
 430  830841 10191752  347813  8.6   98   70 
 431  830841 10191752  347813  8.6   98   70 
 432  830841 10191752  347813  8.6   98   70 
 433  830841 10191752  347813  8.6   98   70 
 434  830841 10191752  347813  8.6   98   70 
 435  830841 10191752  347813  8.6   98   70 
 436  830841 10191752  347813  8.6   98   70 
 437  830841 10191752  347813  8.6   98   70 
 438  830841 10191752  347813  8.6   98   70 
 439  830841 10191752  347813  8.6   98   70 
 440  830841 10191752  347813  8.6   98   70 
